Data or MC,SP mode,Run,Skim,# of events (Data or MC),# of events (Data or MC) NOT SURE WHICH NUMBER TO USE,Luminosity (Data only) 1/pb,# of collections/files (Data or MC),Missing collections?
MC,3981,3,LambdaVeryVeryLoose,2772,38890000,0,9,0
MC,3981,4,LambdaVeryVeryLoose,8267,121574000,0,16,0
MC,3981,5,LambdaVeryVeryLoose,10963,153551000,0,22,0
MC,3981,6,LambdaVeryVeryLoose,6851,94085000,0,19,0
MC,2400,1,LambdaVeryVeryLoose,0,0,0,0,0
MC,2400,2,LambdaVeryVeryLoose,0,0,0,0,0
MC,2400,3,LambdaVeryVeryLoose,0,0,0,0,0
MC,2400,4,LambdaVeryVeryLoose,0,0,0,0,0
MC,2400,5,LambdaVeryVeryLoose,0,0,0,0,0
MC,2400,6,LambdaVeryVeryLoose,0,0,0,0,0
MC,991,1,LambdaVeryVeryLoose,0,0,0,0,0
MC,991,2,LambdaVeryVeryLoose,0,0,0,0,0
MC,991,3,LambdaVeryVeryLoose,0,0,0,0,0
MC,991,4,LambdaVeryVeryLoose,0,0,0,0,0
MC,991,5,LambdaVeryVeryLoose,0,0,0,0,0
MC,991,6,LambdaVeryVeryLoose,0,0,0,0,0
